Date,Open,High,Low,Close,Volume
06/11/2021,"3,349.65","3,366.58","3,333.45","3,346.83","2,817,352"
06/10/2021,"3,282.01","3,351.00","3,281.15","3,349.65","3,476,480"
06/09/2021,"3,272.87","3,297.58","3,270.70","3,281.15","2,455,530"
06/08/2021,"3,222.61","3,279.53","3,218.01","3,264.11","3,416,730"
06/07/2021,"3,197.33","3,208.00","3,172.20","3,198.01","2,215,756"
06/04/2021,"3,212.00","3,221.00","3,198.81","3,206.22","2,249,749"
06/03/2021,"3,204.23","3,214.44","3,184.03","3,187.01","2,398,293"
06/02/2021,"3,223.10","3,235.00","3,208.00","3,233.99","2,014,524"
06/01/2021,"3,243.50","3,250.98","3,209.06","3,218.65","2,430,045"
05/28/2021,"3,242.00","3,247.99","3,219.70","3,223.07","2,331,509"
05/27/2021,"3,256.00","3,260.36","3,230.04","3,230.11","2,561,157"
05/26/2021,"3,274.59","3,295.73","3,258.51","3,265.16","2,383,986"
05/25/2021,"3,266.67","3,279.82","3,213.76","3,259.05","3,261,109"
05/24/2021,"3,215.50","3,257.95","3,210.50","3,244.99","2,422,813"
05/21/2021,"3,250.00","3,256.70","3,197.01","3,203.08","4,104,882"
05/20/2021,"3,244.40","3,259.68","3,236.18","3,247.68","2,633,192"
05/19/2021,"3,195.00","3,234.75","3,184.00","3,231.80","2,679,708"
05/18/2021,"3,292.58","3,312.00","3,230.37","3,232.28","2,828,391"
05/17/2021,"3,245.93","3,292.75","3,234.59","3,270.39","3,685,599"
05/14/2021,"3,185.56","3,228.86","3,183.00","3,222.90","3,325,022"
05/13/2021,"3,185.47","3,203.84","3,133.00","3,161.47","3,356,877"
05/12/2021,"3,185.00","3,207.94","3,133.10","3,151.94","4,936,410"
05/11/2021,"3,136.28","3,238.00","3,127.37","3,223.91","4,619,781"
05/10/2021,"3,282.32","3,283.00","3,190.00","3,190.49","5,838,603"
05/07/2021,"3,319.09","3,330.89","3,289.07","3,291.61","4,710,276"
05/06/2021,"3,270.00","3,314.40","3,247.20","3,306.37","4,447,696"
05/05/2021,"3,338.86","3,354.70","3,264.36","3,270.54","3,711,308"
05/04/2021,"3,356.19","3,367.98","3,272.13","3,311.87","5,439,449"
05/03/2021,"3,484.73","3,486.65","3,372.70","3,386.49","5,875,530"
04/30/2021,"3,525.12","3,554.00","3,462.50","3,467.42","7,009,346"
04/29/2021,"3,505.10","3,514.45","3,435.00","3,471.31","7,682,381"
04/28/2021,"3,434.80","3,489.88","3,425.00","3,458.50","4,631,884"
04/27/2021,"3,443.47","3,460.00","3,398.01","3,417.43","3,827,140"
04/26/2021,"3,348.00","3,428.45","3,330.94","3,409.00","4,880,708"
04/23/2021,"3,319.10","3,375.00","3,308.50","3,340.88","3,196,652"
04/22/2021,"3,371.68","3,372.87","3,301.45","3,309.04","2,580,590"
04/21/2021,"3,316.00","3,362.86","3,303.81","3,362.02","2,211,166"
04/20/2021,"3,373.60","3,382.99","3,316.00","3,334.69","2,623,032"
04/19/2021,"3,390.33","3,435.93","3,360.16","3,372.01","2,725,405"
04/16/2021,"3,380.00","3,406.80","3,355.59","3,399.44","3,186,049"
04/15/2021,"3,371.00","3,397.00","3,352.00","3,379.09","3,233,580"
04/14/2021,"3,404.04","3,404.13","3,326.00","3,333.00","3,145,204"
04/13/2021,"3,400.85","3,432.00","3,395.63","3,400.00","3,315,837"
04/12/2021,"3,355.21","3,395.04","3,351.15","3,379.39","3,281,798"
04/09/2021,"3,304.70","3,372.20","3,288.90","3,372.20","4,341,473"
04/08/2021,"3,310.90","3,324.50","3,292.00","3,299.30","2,812,090"
04/07/2021,"3,233.80","3,303.61","3,223.65","3,279.39","3,346,227"
04/06/2021,"3,223.75","3,247.31","3,217.04","3,223.82","2,537,809"
04/05/2021,"3,173.00","3,235.96","3,161.24","3,226.73","3,334,882"
04/01/2021,"3,117.94","3,162.44","3,115.55","3,161.00","2,940,318"
03/31/2021,"3,064.06","3,119.33","3,062.50","3,094.08","3,093,896"
03/30/2021,"3,070.01","3,073.00","3,034.00","3,055.29","2,337,603"
03/29/2021,"3,055.44","3,091.25","3,028.45","3,075.73","2,745,968"
03/26/2021,"3,044.06","3,056.66","2,996.00","3,052.03","3,312,924"
03/25/2021,"3,072.99","3,109.78","3,037.14","3,046.26","3,563,469"
03/24/2021,"3,151.04","3,160.31","3,085.15","3,087.07","2,958,981"
03/23/2021,"3,127.00","3,182.00","3,120.85","3,137.50","3,817,263"
03/22/2021,"3,067.85","3,126.58","3,060.05","3,110.87","2,902,179"
03/19/2021,"3,029.23","3,077.29","3,016.63","3,074.96","4,625,354"
03/18/2021,"3,101.00","3,116.63","3,025.00","3,027.99","3,657,027"
03/17/2021,"3,073.22","3,173.05","3,070.22","3,135.73","3,118,584"
03/16/2021,"3,104.97","3,128.91","3,075.86","3,091.86","2,538,764"
03/15/2021,"3,074.57","3,082.24","3,032.09","3,081.68","2,918,592"
03/12/2021,"3,075.00","3,098.98","3,045.50","3,089.49","2,421,888"
03/11/2021,"3,104.01","3,131.78","3,082.93","3,113.59","2,776,391"
03/10/2021,"3,098.45","3,116.46","3,030.05","3,057.64","3,012,489"
