Date,Open,High,Low,Close,Volume
02/17/2021,"143.95","145.38","143.12","145.10","10,834,190"
02/16/2021,"143.55","145.32","142.40","144.65","12,130,620"
02/12/2021,"139.05","141.61","139.00","141.25","8,324,562"
02/11/2021,"139.66","140.55","138.22","139.27","9,200,955"
02/10/2021,"140.00","140.87","139.04","139.66","10,323,200"
02/09/2021,"139.43","139.98","138.54","139.58","8,614,807"
02/08/2021,"138.20","140.30","138.18","140.14","10,136,380"
02/05/2021,"139.39","139.49","137.38","137.98","10,051,270"
02/04/2021,"135.47","138.66","135.47","138.25","12,419,530"
02/03/2021,"133.65","135.76","133.51","135.14","10,600,780"
02/02/2021,"131.94","134.39","131.22","133.61","12,253,570"
02/01/2021,"129.40","130.07","128.48","129.62","11,080,660"
01/29/2021,"131.19","131.72","128.19","128.67","14,808,110"
01/28/2021,"129.90","132.17","128.99","130.11","13,761,760"
01/27/2021,"129.59","129.85","127.35","127.86","17,603,850"
01/26/2021,"132.75","133.17","131.34","131.58","11,307,820"
01/25/2021,"132.14","133.17","130.06","132.12","14,212,760"
01/22/2021,"132.69","134.40","132.20","133.79","12,933,230"
01/21/2021,"135.69","136.16","134.33","134.83","13,415,020"
01/20/2021,"137.82","138.17","135.44","135.97","16,028,850"
01/19/2021,"139.86","140.70","137.82","138.04","19,843,779"
01/15/2021,"137.43","141.65","137.01","138.64","27,881,020"
01/14/2021,"140.49","142.75","140.00","141.17","18,565,600"
01/13/2021,"138.59","140.79","138.10","140.35","14,816,760"
01/12/2021,"139.44","141.66","138.83","140.22","18,033,461"
01/11/2021,"134.58","138.20","134.11","138.05","15,949,050"
01/08/2021,"135.97","136.35","134.12","136.02","12,035,130"
01/07/2021,"135.69","138.19","134.92","135.87","21,940,391"
01/06/2021,"129.88","132.77","127.88","131.55","24,909,061"
01/05/2021,"124.99","126.30","123.77","125.65","13,731,210"
01/04/2021,"127.50","127.86","124.78","125.87","16,819,920"
